Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),Environment:Site Outdoor Air Dewpoint Temperature [C](Hourly),Environment:Site Outdoor Air Barometric Pressure [Pa](Hourly),Environment:Site Wind Speed [m/s](Hourly),Environment:Site Wind Direction [deg](Hourly),Environment:Site Diffuse Solar Radiation Rate per Area [W/m2](Hourly),Environment:Site Direct Solar Radiation Rate per Area [W/m2](Hourly),Environment:Site Solar Azimuth Angle [deg](Hourly),Environment:Site Solar Altitude Angle [deg](Hourly),Mean Operative Temperature,Electricity:Facility [J](Hourly),DistrictCooling:Facility [J](Hourly),DistrictHeating:Facility [J](Hourly),Total energy[J](Hourly)
1104998400.0,-0.825,-8.183333333,95340.58333,1.066666667,340.25,21.66666667,57.0,126.5227204,2.942163804,18.73414802,2112115.456,0.0,10012336.73,12124452.19
1105002000.0,0.291666667,-7.891666667,95341.58333,0.55,333.3333333,72.0,379.0,138.0079474,10.80228136,18.96124262,810441.5536,0.0,9789584.782,10600026.34
1105005600.0,1.933333333,-8.1,95342.58333,0.416666667,97.75,53.5,718.25,150.765504,16.98935281,19.21387761,57316.11482,0.0,6197991.195,6255307.31
1105009200.0,3.416666667,-8.275,95343.58333,0.85,80.16666667,61.25,823.6666667,164.7655139,21.01145959,19.3920944,57316.11482,0.0,5487385.914,5544702.029
1105012800.0,4.583333333,-7.933333333,95344.58333,1.741666667,47.75,59.41666667,829.3333333,179.568495,22.46051156,19.52913681,57316.11482,0.0,4894882.827,4952198.942
1105016400.0,5.233333333,-6.55,95347.33333,2.55,181.25,53.91666667,802.0,194.3960482,21.16799795,19.64764611,57316.11482,0.0,4493972.636,4551288.751
1105020000.0,5.458333333,-6.033333333,95351.33333,3.091666667,294.3333333,54.75,718.5,208.458456,17.28482142,19.72379361,57316.11482,0.0,4282556.237,4339872.352
1105023600.0,5.208333333,-6.55,95355.33333,2.366666667,350.5,78.5,361.3333333,221.2920331,11.20938466,19.67158143,57316.11482,0.0,4449834.869,4507150.984
1105027200.0,4.358333333,-6.858333333,95359.33333,0.941666667,337.75,24.5,32.91666667,232.8456829,3.432665364,19.44652578,1178656.197,0.0,4497789.209,5676445.406
1105030800.0,3.608333333,-7.425,95363.33333,0.166666667,92.91666667,0.0,0.0,243.3650032,-5.582638366,19.27207166,1363184.304,0.0,4858924.546,6222108.85
1105034400.0,3.108333333,-7.625,95367.33333,0.058333333,133.9166667,0.0,0.0,253.2618488,-15.44723396,19.16175378,1617540.857,0.0,4874962.438,6492503.295
1105038000.0,2.608333333,-7.383333333,95371.33333,0.041666667,172.5,0.0,0.0,263.0711778,-25.83507899,19.13804628,3674037.099,0.0,5156446.476,8830483.575
1105041600.0,2.108333333,-7.241666667,95374.75,0.116666667,221.3333333,0.0,0.0,273.5233694,-36.44057551,19.08900492,3770938.955,0.0,5272687.367,9043626.322
